"filename", "language", "C++", "YAML", "Markdown", "Dart", "Groovy", "Properties", "JSON", "HTML", "XML", "Swift", "comment", "blank", "total"
"/Users/szabotamas/tiszapp_flutter/lib/views/songs_detail_screen.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/szabotamas/tiszapp_flutter/lib/views/songs_screen.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/szabotamas/tiszapp_flutter/lib/views/songs_summary_screen.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/szabotamas/tiszapp_flutter/lib/views/texts_screen.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/szabotamas/tiszapp_flutter/lib/views/upload_pictures_screen.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 6, 86
"/Users/szabotamas/tiszapp_flutter/lib/views/upload_score_screen.dart", "Dart", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 7, 155
"/Users/szabotamas/tiszapp_flutter/lib/views/upload_texts_screen.dart", "Dart", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 6, 96
"/Users/szabotamas/tiszapp_flutter/lib/widget_tree.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/szabotamas/tiszapp_flutter/lib/widgets/3d_button.dart", "Dart", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 10, 133
"/Users/szabotamas/tiszapp_flutter/lib/widgets/autocomplete_textfield.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/szabotamas/tiszapp_flutter/lib/widgets/input_field.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 8, 90
"/Users/szabotamas/tiszapp_flutter/lib/widgets/menu_icon.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/szabotamas/tiszapp_flutter/lib/widgets/picture_item.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/szabotamas/tiszapp_flutter/lib/widgets/schedule_field.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/szabotamas/tiszapp_flutter/lib/widgets/score_item.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/szabotamas/tiszapp_flutter/lib/widgets/song_list_item.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/szabotamas/tiszapp_flutter/lib/widgets/songs_list.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/szabotamas/tiszapp_flutter/lib/widgets/text_item.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/szabotamas/tiszapp_flutter/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/szabotamas/tiszapp_flutter/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/szabotamas/tiszapp_flutter/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/szabotamas/tiszapp_flutter/linux/my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/szabotamas/tiszapp_flutter/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/szabotamas/tiszapp_flutter/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 4, 19
"/Users/szabotamas/tiszapp_flutter/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/szabotamas/tiszapp_flutter/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"/Users/szabotamas/tiszapp_flutter/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"/Users/szabotamas/tiszapp_flutter/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/szabotamas/tiszapp_flutter/pubspec.yaml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 57, 16, 102
"/Users/szabotamas/tiszapp_flutter/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
